"DATE","SNOW WC INCHES",""
"09/01/2021","--",""
"10/01/2021","--",""
"11/01/2021","--",""
"12/01/2021","21.50",""
"01/01/2022","21.50",""
"02/01/2022","19.00",""
"03/01/2022","18.00",""
"04/01/2022","10.75",""
"05/01/2022","--",""
"06/01/2022","--",""
"07/01/2022","--",""
"08/01/2022","--",""
"09/01/2022","--",""
"10/01/2022","--",""
"11/01/2022","--",""
"12/01/2022","16.00",""
"01/01/2023","16.00",""
"02/01/2023","37.00",""
"03/01/2023","38.00",""
"04/01/2023","68.00",""
"05/01/2023","50.00",""
"06/01/2023","--",""
"07/01/2023","--",""
"08/01/2023","--",""
"09/01/2023","--",""